Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,38928341
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,677243299
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,458803476
"Population, total",SP.POP.TOTL,Albania,ALB,2837743
"Population, total",SP.POP.TOTL,Algeria,DZA,43851043
"Population, total",SP.POP.TOTL,American Samoa,ASM,55197
"Population, total",SP.POP.TOTL,Andorra,AND,77265
"Population, total",SP.POP.TOTL,Angola,AGO,32866268
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,97928
"Population, total",SP.POP.TOTL,Arab World,ARB,436080728
"Population, total",SP.POP.TOTL,Argentina,ARG,45376763
"Population, total",SP.POP.TOTL,Armenia,ARM,2963234
"Population, total",SP.POP.TOTL,Aruba,ABW,106766
"Population, total",SP.POP.TOTL,Australia,AUS,25687041
"Population, total",SP.POP.TOTL,Austria,AUT,8917205
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10110116
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,393248
"Population, total",SP.POP.TOTL,Bahrain,BHR,1701583
"Population, total",SP.POP.TOTL,Bangladesh,BGD,164689383
"Population, total",SP.POP.TOTL,Barbados,BRB,287371
"Population, total",SP.POP.TOTL,Belarus,BLR,9398861
"Population, total",SP.POP.TOTL,Belgium,BEL,11555997
"Population, total",SP.POP.TOTL,Belize,BLZ,397621
"Population, total",SP.POP.TOTL,Benin,BEN,12123198
"Population, total",SP.POP.TOTL,Bermuda,BMU,63903
"Population, total",SP.POP.TOTL,Bhutan,BTN,771612
"Population, total",SP.POP.TOTL,Bolivia,BOL,11673029
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3280815
"Population, total",SP.POP.TOTL,Botswana,BWA,2351625
"Population, total",SP.POP.TOTL,Brazil,BRA,212559409
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30237
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,437483
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6927288
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20903278
"Population, total",SP.POP.TOTL,Burundi,BDI,11890781
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,555988
"Population, total",SP.POP.TOTL,Cambodia,KHM,16718971
"Population, total",SP.POP.TOTL,Cameroon,CMR,26545864
